S21 dB20 X,S21 dB20 Y
100000000,-1.038460651
200000000,-1.028716375
300000000,-1.024639453
400000000,-1.020534812
500000000,-1.015704419
600000000,-1.00998113
700000000,-1.003313233
800000000,-0.995684987
900000000,-0.987094937
1000000000,-0.977548521
1100000000,-0.967055117
1200000000,-0.955626709
1300000000,-0.94327721
1400000000,-0.930022091
1500000000,-0.915878148
1600000000,-0.900863338
1700000000,-0.884996666
1800000000,-0.868298082
1900000000,-0.850788393
2000000000,-0.832489192
2100000000,-0.813422772
2200000000,-0.793612067
2300000000,-0.773080572
2400000000,-0.751852284
2500000000,-0.72995163
2600000000,-0.707403406
2700000000,-0.684232713
2800000000,-0.660464897
2900000000,-0.636125488
3000000000,-0.611240144
3100000000,-0.585834595
3200000000,-0.559934588
3300000000,-0.53356584
3400000000,-0.506753986
3500000000,-0.479524533
3600000000,-0.451902818
3700000000,-0.423913964
3800000000,-0.395582846
3900000000,-0.366934049
4000000000,-0.337991838
4100000000,-0.308780128
4200000000,-0.279322451
4300000000,-0.249641936
4400000000,-0.219761278
4500000000,-0.189702724
4600000000,-0.15948805
4700000000,-0.129138547
4800000000,-0.098675001
4900000000,-0.068117688
5000000000,-0.037486357
5100000000,-0.006800226
5200000000,0.023922027
5300000000,0.054662272
5400000000,0.085402922
5500000000,0.116126946
5600000000,0.146817861
5700000000,0.177459737
5800000000,0.20803719
5900000000,0.238535385
6000000000,0.268940027
6100000000,0.299237358
6200000000,0.329414152
6300000000,0.359457709
6400000000,0.389355842
6500000000,0.419096878
6600000000,0.448669642
6700000000,0.478063452
6800000000,0.507268107
6900000000,0.536273882
7000000000,0.56507151
7100000000,0.593652179
7200000000,0.622007517
7300000000,0.650129583
7400000000,0.678010855
7500000000,0.70564422
7600000000,0.733022962
7700000000,0.760140751
7800000000,0.786991632
7900000000,0.813570013
8000000000,0.839870657
8100000000,0.865888665
8200000000,0.891619472
8300000000,0.917058832
8400000000,0.942202808
8500000000,0.96704776
8600000000,0.99159034
8700000000,1.015827475
8800000000,1.039756363
8900000000,1.063374457
9000000000,1.086679461
9100000000,1.109669318
9200000000,1.132342202
9300000000,1.154696506
9400000000,1.176730836
9500000000,1.198444004
9600000000,1.219835015
9700000000,1.240903062
9800000000,1.261647518
9900000000,1.282067927
10000000000,1.302163999
10100000000,1.321935601
10200000000,1.341382747
10300000000,1.360505599
10400000000,1.379304452
10500000000,1.397779734
10600000000,1.415931997
10700000000,1.433761909
10800000000,1.451270253
10900000000,1.468457919
11000000000,1.485325897
11100000000,1.501875274
11200000000,1.518107229
11300000000,1.534023028
11400000000,1.549624017
11500000000,1.564911622
11600000000,1.57988734
11700000000,1.594552738
11800000000,1.608909448
11900000000,1.622959162
12000000000,1.636703631
12100000000,1.65014466
12200000000,1.663284103
12300000000,1.676123861
12400000000,1.68866588
12500000000,1.700912148
12600000000,1.712864689
12700000000,1.724525564
12800000000,1.735896864
12900000000,1.746980714
13000000000,1.757779263
13100000000,1.768294688
13200000000,1.778529186
13300000000,1.788484979
13400000000,1.798164304
13500000000,1.807569416
13600000000,1.816702587
13700000000,1.825566099
13800000000,1.834162249
13900000000,1.842493339
14000000000,1.850561685
14100000000,1.858369605
14200000000,1.865919425
14300000000,1.873213475
14400000000,1.880254086
14500000000,1.887043592
14600000000,1.893584327
14700000000,1.899878625
14800000000,1.905928816
14900000000,1.91173723
15000000000,1.917306191
15100000000,1.92263802
15200000000,1.92773503
15300000000,1.932599532
15400000000,1.937233825
15500000000,1.941640204
15600000000,1.945820954
15700000000,1.949778351
15800000000,1.95351466
15900000000,1.957032139
16000000000,1.960333031
16100000000,1.963419572
16200000000,1.966293983
16300000000,1.968958473
16400000000,1.971415241
16500000000,1.973666469
16600000000,1.975714329
16700000000,1.977560978
16800000000,1.979208558
16900000000,1.980659198
17000000000,1.981915012
17100000000,1.982978098
17200000000,1.983850541
17300000000,1.984534409
17400000000,1.985031755
17500000000,1.985344616
17600000000,1.985475014
17700000000,1.985424955
17800000000,1.985196428
17900000000,1.984791406
18000000000,1.984211846
18100000000,1.983459688
18200000000,1.982536857
18300000000,1.981445259
18400000000,1.980186787
18500000000,1.978763313
18600000000,1.977176696
18700000000,1.975428777
18800000000,1.973521379
18900000000,1.971456311
19000000000,1.969235362
19100000000,1.966860307
19200000000,1.964332904
19300000000,1.961654894
19400000000,1.958828
19500000000,1.95585393
19600000000,1.952734377
19700000000,1.949471013
19800000000,1.946065499
19900000000,1.942519475
20000000000,1.938834568
20100000000,1.935012386
20200000000,1.931054525
20300000000,1.926962561
20400000000,1.922738055
20500000000,1.918382554
20600000000,1.913897587
20700000000,1.909284668
20800000000,1.904545296
20900000000,1.899680955
21000000000,1.894693111
21100000000,1.889583217
21200000000,1.884352712
21300000000,1.879003016
21400000000,1.873535537
21500000000,1.867951669
21600000000,1.862252787
21700000000,1.856440257
21800000000,1.850515425
21900000000,1.844479627
22000000000,1.838334183
22100000000,1.832080397
22200000000,1.825719563
22300000000,1.819252958
22400000000,1.812681845
22500000000,1.806007476
22600000000,1.799231088
22700000000,1.792353903
22800000000,1.785377132
22900000000,1.778301972
23000000000,1.771129607
23100000000,1.763861207
23200000000,1.756497931
23300000000,1.749040925
23400000000,1.741491321
23500000000,1.733850239
23600000000,1.726118788
23700000000,1.718298063
23800000000,1.710389149
23900000000,1.702393116
24000000000,1.694311026
24100000000,1.686143926
24200000000,1.677892852
24300000000,1.66955883
24400000000,1.661142874
24500000000,1.652645986
24600000000,1.644069156
24700000000,1.635413367
24800000000,1.626679586
24900000000,1.617868772
25000000000,1.608981874
25100000000,1.600019828
25200000000,1.590983561
25300000000,1.58187399
25400000000,1.57269202
25500000000,1.563438549
25600000000,1.554114461
25700000000,1.544720634
25800000000,1.535257932
25900000000,1.525727214
26000000000,1.516129325
26100000000,1.506465104
26200000000,1.496735378
26300000000,1.486940966
26400000000,1.477082678
26500000000,1.467161315
26600000000,1.457177667
26700000000,1.447132518
26800000000,1.437026642
26900000000,1.426860803
27000000000,1.416635758
27100000000,1.406352255
27200000000,1.396011035
27300000000,1.385612827
27400000000,1.375158356
27500000000,1.364648336
27600000000,1.354083475
27700000000,1.34346447
27800000000,1.332792015
27900000000,1.322066791
28000000000,1.311289474
28100000000,1.300460734
28200000000,1.289581229
28300000000,1.278651614
28400000000,1.267672534
28500000000,1.256644629
28600000000,1.245568528
28700000000,1.234444857
28800000000,1.223274232
28900000000,1.212057265
29000000000,1.200794559
29100000000,1.18948671
29200000000,1.178134308
29300000000,1.166737937
29400000000,1.155298173
29500000000,1.143815588
29600000000,1.132290744
29700000000,1.1207242
29800000000,1.109116507
29900000000,1.09746821
30000000000,1.085779848
30100000000,1.074051954
30200000000,1.062285056
30300000000,1.050479674
30400000000,1.038636323
30500000000,1.026755514
30600000000,1.01483775
30700000000,1.002883529
30800000000,0.990893344
30900000000,0.978867681
31000000000,0.966807023
31100000000,0.954711846
31200000000,0.942582621
31300000000,0.930419813
31400000000,0.918223882
31500000000,0.905995285
31600000000,0.89373447
31700000000,0.881441885
31800000000,0.869117967
31900000000,0.856763154
32000000000,0.844377875
32100000000,0.831962555
32200000000,0.819517617
32300000000,0.807043476
32400000000,0.794540542
32500000000,0.782009225
32600000000,0.769449925
32700000000,0.756863041
32800000000,0.744248966
32900000000,0.73160809
33000000000,0.718940796
33100000000,0.706247466
33200000000,0.693528476
33300000000,0.680784198
33400000000,0.668015
33500000000,0.655221246
33600000000,0.642403294
33700000000,0.629561503
33800000000,0.616696222
33900000000,0.6038078
34000000000,0.590896581
34100000000,0.577962906
34200000000,0.56500711
34300000000,0.552029527
34400000000,0.539030486
34500000000,0.526010312
34600000000,0.512969326
34700000000,0.499907847
34800000000,0.48682619
34900000000,0.473724666
35000000000,0.460603582
35100000000,0.447463244
35200000000,0.434303951
35300000000,0.421126002
35400000000,0.407929691
35500000000,0.394715309
