S21 dB20 X,S21 dB20 Y
100000000,-4.21941052183588
200000000,-4.304100747496041
300000000,-4.342251973688292
400000000,-4.389627394731385
500000000,-4.472015672162907
600000000,-4.583185951814976
700000000,-4.695756162151007
800000000,-4.782056408953619
900000000,-4.831429352199765
1000000000,-4.855350190378161
1100000000,-4.879610506826904
1200000000,-4.928055017902384
1300000000,-5.007332882468306
1400000000,-5.103242100097781
1500000000,-5.191071628704371
1600000000,-5.251604740387488
1700000000,-5.28226414669085
1800000000,-5.298052115787193
1900000000,-5.322410375035905
2000000000,-5.372737545279394
2100000000,-5.449380928367243
2200000000,-5.535900476829687
2300000000,-5.610131711601984
2400000000,-5.657835394391987
2500000000,-5.680659769891498
2600000000,-5.694805287022865
2700000000,-5.721326239272883
2800000000,-5.773179671862612
2900000000,-5.847135903182164
3000000000,-5.926269544396437
3100000000,-5.990958548642142
3200000000,-6.030649636956589
3300000000,-6.04962506636215
3400000000,-6.064246225565313
3500000000,-6.093192068214892
3600000000,-6.145989173565505
3700000000,-6.217156325437493
3800000000,-6.290056009235413
3900000000,-6.347465158747373
4000000000,-6.381723398145272
4100000000,-6.398835698983031
4200000000,-6.414779497413154
4300000000,-6.445968734959845
4400000000,-6.499191732388545
4500000000,-6.567522831985869
4600000000,-6.635009817349196
4700000000,-6.686641764287233
4800000000,-6.717084014696086
4900000000,-6.733466261836804
5000000000,-6.751072831490791
5100000000,-6.784206873207605
5200000000,-6.8374417996463
5300000000,-6.902948039162301
5400000000,-6.965672193323207
5500000000,-7.012620929675448
5600000000,-7.040350395249516
5700000000,-7.056695797388121
5800000000,-7.07607034645312
5900000000,-7.110836195060576
6000000000,-7.163765019675703
6100000000,-7.226503644310494
6200000000,-7.285008375485016
6300000000,-7.328114702240415
6400000000,-7.353924134864307
6500000000,-7.370672074035332
6600000000,-7.391802840126585
6700000000,-7.42790879866785
6800000000,-7.480293790710232
6900000000,-7.540355696423514
7000000000,-7.595109827705102
7100000000,-7.635043063730044
7200000000,-7.659521601209049
7300000000,-7.676954476678097
7400000000,-7.699770722773698
7500000000,-7.736958260846349
7600000000,-7.788626736253229
7700000000,-7.846126386526667
7800000000,-7.897542328858536
7900000000,-7.934848602036252
8000000000,-7.958444471036251
8100000000,-7.976743051929313
8200000000,-8.001145400451115
8300000000,-8.039191674327146
8400000000,-8.090023183576967
8500000000,-8.145091086599916
8600000000,-8.193536209166151
8700000000,-8.228669014196594
8800000000,-8.251729479146913
8900000000,-8.271006638903204
9000000000,-8.296884394616939
9100000000,-8.335600597030901
9200000000,-8.385516570353145
9300000000,-8.438293477180142
9400000000,-8.484098059020738
9500000000,-8.517439482999036
9600000000,-8.540236896919652
9700000000,-8.560559696952145
9800000000,-8.587800335193679
9900000000,-8.627028848525647
10000000000,-8.675984038665391
