S21 dB20 X,S21 dB20 Y
100000000,-4.104961888487582
200000000,-4.161844147905345
300000000,-4.19192818197855
400000000,-4.208105571154305
500000000,-4.218113368276749
600000000,-4.228144406776446
700000000,-4.243265354578674
800000000,-4.266940844545438
900000000,-4.300620883009437
1000000000,-4.343651481892222
1100000000,-4.393555869732053
1200000000,-4.446617628693134
1300000000,-4.49862798990807
1400000000,-4.545641515837979
1500000000,-4.584613562219271
1600000000,-4.61384204461997
1700000000,-4.633180804155664
1800000000,-4.644020915449973
1900000000,-4.649053521651327
2000000000,-4.651840163103315
2100000000,-4.656239104249022
2200000000,-4.665764272327602
2300000000,-4.682983125137119
2400000000,-4.709071655104642
2500000000,-4.743623614340232
2600000000,-4.78475589849843
2700000000,-4.829480852447513
2800000000,-4.874255462999689
2900000000,-4.915590263568182
3000000000,-4.950607694606618
3100000000,-4.977469903264574
3200000000,-4.995631102857502
3300000000,-5.005895877330668
3400000000,-5.010284985347696
3500000000,-5.011723703444999
3600000000,-5.013585227736769
3700000000,-5.019147640457577
3800000000,-5.031046167772142
3900000000,-5.05082208348974
4000000000,-5.078660403911986
4100000000,-5.113374431770257
4200000000,-5.152638418235228
4300000000,-5.19341223958524
4400000000,-5.232466092319294
4500000000,-5.266904784125272
4600000000,-5.294608609464348
4700000000,-5.314535301715932
4800000000,-5.326855481130853
4900000000,-5.332912176019969
5000000000,-5.335012172046606
5100000000,-5.33607168992297
5200000000,-5.339157311775092
5300000000,-5.346986716510558
5400000000,-5.361473133578125
5500000000,-5.383400553521843
5600000000,-5.412297902052309
5700000000,-5.446538671822923
5800000000,-5.483641518159481
5900000000,-5.520705072127806
6000000000,-5.554889540397816
6100000000,-5.583861978382636
6200000000,-5.606140471224555
6300000000,-5.621299260315803
6400000000,-5.630015866993675
6500000000,-5.633959811339438
6600000000,-5.635535581243827
6700000000,-5.637509483187991
6800000000,-5.642568346266717
6900000000,-5.652878858009104
7000000000,-5.669723936661955
7100000000,-5.693289293243614
7200000000,-5.722644141644504
7300000000,-5.755918177814845
7400000000,-5.790635427012399
7500000000,-5.824134741898695
7600000000,-5.853999086458701
7700000000,-5.878424952305759
7800000000,-5.896482487802634
7900000000,-5.908239489768347
8000000000,-5.914738689681377
8100000000,-5.917833322805324
8200000000,-5.919900520878083
8300000000,-5.923467466065723
8400000000,-5.930803808371945
8500000000,-5.943546927895217
8600000000,-5.962429137172318
8700000000,-5.987161070683968
8800000000,-6.016494837082612
8900000000,-6.04845162965804
9000000000,-6.080665230781813
9100000000,-6.110773911128112
9200000000,-6.136792769188453
9300000000,-6.157411103679386
9400000000,-6.172177785287652
9500000000,-6.181555884682252
9600000000,-6.1868432196336
9700000000,-6.189969488274071
9800000000,-6.193194557948249
9900000000,-6.198748679953658
10000000000,-6.2084694186017
10100000000,-6.223497697664988
10200000000,-6.24409050302099
10300000000,-6.269587122053981
10400000000,-6.298534851199467
10500000000,-6.328946393187158
10600000000,-6.358636832109204
10700000000,-6.385577839100936
10800000000,-6.408211640745839
10900000000,-6.425680564249482
11000000000,-6.437945091568016
11100000000,-6.445779111837133
11200000000,-6.450644871243245
11300000000,-6.454463575690498
11400000000,-6.459311521900856
11500000000,-6.467085947005279
11600000000,-6.479193880005766
11700000000,-6.49632026114546
11800000000,-6.518319177526113
11900000000,-6.544249016403315
12000000000,-6.572543846197934
12100000000,-6.60128406391268
12200000000,-6.62851538218221
12300000000,-6.652560109637129
12400000000,-6.67227284007483
12500000000,-6.687206413426615
12600000000,-6.697669870403886
12700000000,-6.704672686396853
12800000000,-6.709764276153377
12900000000,-6.714788900855639
13000000000,-6.721590739899337
13100000000,-6.731714217582033
13200000000,-6.746149724478265
13300000000,-6.76517217837958
13400000000,-6.788302329079162
13500000000,-6.814397965434842
13600000000,-6.841855443980187
13700000000,-6.868881585854084
13800000000,-6.893786180270967
13900000000,-6.915247084681903
14000000000,-6.932509071984901
14100000000,-6.945491061617286
14200000000,-6.954790262352115
14300000000,-6.961583501272772
14400000000,-6.967440551183868
14500000000,-6.974073524862043
14600000000,-6.983060135782118
14700000000,-6.995585271100449
14800000000,-7.01224614028389
14900000000,-7.032957375150493
15000000000,-7.056973045143428
15100000000,-7.083021767863846
15200000000,-7.10952535299004
15300000000,-7.134861709229353
15400000000,-7.157625660626707
15500000000,-7.17684607505756
15600000000,-7.192130316140072
15700000000,-7.203717064258914
15800000000,-7.212433218454989
15900000000,-7.219560757570754
16000000000,-7.226631902752692
16100000000,-7.235182500531173
16200000000,-7.246501577815197
16300000000,-7.261418803022933
16400000000,-7.280169168253972
16500000000,-7.30235899619661
16600000000,-7.327039630966718
16700000000,-7.352873566936005
16800000000,-7.37836058361546
16900000000,-7.402083476761194
17000000000,-7.422932605962171
17100000000,-7.440275642510254
17200000000,-7.45405009985867
17300000000,-7.464766837625898
17400000000,-7.473426294144384
17500000000,-7.481358001981528
17600000000,-7.490007028370963
17700000000,-7.500699240940448
17800000000,-7.514423147324996
17900000000,-7.531666957470834
18000000000,-7.552340170982992
18100000000,-7.575794323258522
18200000000,-7.600938175893216
18300000000,-7.62642436654139
18400000000,-7.650873618236592
18500000000,-7.673097227089507
18600000000,-7.692283285804582
18700000000,-7.708119515307427
18800000000,-7.720837195769552
18900000000,-7.731170839379914
19000000000,-7.740240012892029
